""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"ABHD10"	0.918671217001084	0.736098065412694	0.115423785261098	0.950116494579172	0.592756372144062	0.88326604687102	0.418902740210259	0.895802373597426	0.835954525239673	0.252061924714384	0.649543825248519	0.910808204523816	0.199288340591392	0.434373932966339	0.656161530086409
"ABHD11"	0.47459444381383	0.211019419885899	0.507339030033046	0.00187658166321807	0.00375487736316416	0.0869247516393939	0.845447906760741	0.00147258197478045	0.00592550002358513	0.0164160371732652	0.0542295365568789	0.137987324350107	0.000265494504445974	0.000399941497358156	0.670337059981574
"ABHD12"	0.51979505732286	0.972458902792399	0.11751822975655	0.027085268453291	0.00175561427510575	0.536782344273223	0.796285854756444	0.337685537158877	0.00435929024303814	0.0773789067006755	0.0178802533375615	0.00137256752358173	0.431705514367379	4.23049436880987e-06	3.7218487617983e-06
"ABHD13"	0.0465501531875273	0.833468305399694	0.30749687090133	0.482192082906787	0.00744099707298084	0.10254574587046	0.288843046121745	0.257967746291194	0.987504921637071	0.458969767225451	0.638296310701987	0.0140888103398521	0.934171642738075	0.125786592339122	0.185740966736138
"ABHD14A"	0.938658650331711	0.89740451556602	0.340015438522632	0.976304579496588	0.704621631060526	0.856254086350892	0.503530182492222	0.930254349838872	0.872230439958729	0.446855072721865	0.891222419106079	0.573379276744921	0.483932363383367	0.230480362944189	0.762067313872611
"ABHD14B"	4.68967602931398e-07	0.00674785554138655	3.5573077827767e-10	4.07937218506355e-13	3.77713468011517e-14	0.00377975107241052	0.747486881771208	0.192755386259731	0.383607115466276	0.000101502990450687	5.90610485224901e-08	2.67733540900239e-08	0.0234298393515202	0.042535831278182	0.723933441828571
"ABHD15"	0.53928838948368	0.416309795107857	0.00923964629557961	0.757491911533223	0.648229257952373	0.201279373650148	0.0155158331238599	0.777337307689154	0.389537121453615	0.103883045615774	0.2210913427361	0.681679585124443	0.0157657149120469	0.070623974451349	0.527702115919076
"ABHD16A"	0.0655695322641415	0.16794495177428	0.497460571287392	0.104841070477688	1.87733568615045e-07	0.560555370135338	0.245010066579016	0.741574900134796	0.0736715614032792	0.380331810545075	0.75681159963258	9.59847322839073e-05	0.352547181188907	5.8870273851279e-06	0.00744119412669096
"ABHD17A"	0.214472538118958	0.707315818273646	0.176933921077001	0.280284414766415	0.106892769280714	0.44267219682262	0.823324802515904	0.810853715537782	0.958534612255843	0.393402606993504	0.506726256509788	0.268194341950631	0.996918045604656	0.797973146854836	0.836884658755145
"ABHD17B"	0.0680806133366296	0.267432585386314	0.0849391063428479	0.73022408393025	0.759841836724631	0.455169659278599	0.00238443477647385	0.0492611671092095	0.0586644798666077	0.000712978391899091	0.123933305098241	0.0984370687283067	0.36380375992627	0.246634615102095	0.953217959161063
"ABHD17C"	0.0389334908752671	0.25558881473094	0.865478739052964	0.000823267942345016	0.0113357628023723	0.344485540398775	0.0355715688089485	0.554671531396464	0.903467652477818	0.093535812760787	0.0229096548360061	0.226685055231288	0.000569571476941342	0.00774571308078196	0.364114844669522
"ABHD18"	0.39243864035347	0.967672234820539	0.00650608208201478	0.0325721686861695	0.181049057433296	0.410641951141404	0.445089795339603	0.502176661122016	0.085382625756676	0.00279916246689583	0.0215392454846328	0.190438222791223	0.907238456888943	9.70404151089293e-05	0.00161272578182476
"ABHD2"	0.0188083638490356	0.450571374609073	0.820398544204757	0.010121902946357	0.0267006946769189	0.133464347409815	0.0151441654221743	0.926286614521951	0.61951293872444	0.194057008285965	0.0695435742319834	0.197912119119219	0.00623742680581245	0.0159607028270271	0.637710507149606
"ABHD3"	0.631971162486261	0.885348597933764	0.07078139736741	0.146590971016408	0.0331654727055611	0.774495686892494	0.591688856957157	0.580458945617156	0.421834265214084	0.091781467641775	0.189070873400985	0.0483293133886507	0.999230197963982	0.742433955977377	0.797339790085831
"ABHD4"	0.14862467824753	0.583423085862999	0.41071774387948	0.00636421036050596	0.700721783042471	0.419025162177869	0.0458551647315448	0.518890315522278	0.348334633010325	0.0810854920748754	0.0293937554004707	0.815978607518747	0.000657649734461218	0.251200621000909	0.0352257465186278
"ABHD5"	0.0325852668044111	0.898044176947735	0.202515697697725	0.00175140961658291	0.0332350265884918	0.0288667647341171	0.305413686112639	9.47282098775677e-06	0.000380037847363983	0.103954184173202	0.00211931495272005	0.0458309147856158	3.35476287856654e-05	0.000796651917090704	0.305369245767607
"ABHD6"	0.436699601383139	0.905783674763105	1.33419228835212e-05	0.246155347102589	0.997974584739192	0.400946660862625	0.0427065913122853	0.909590622749293	0.507453547891406	1.15311627929709e-06	0.162421937859823	0.876826931559583	0.0248260467030208	5.05740902091055e-05	0.315273538012844
"ABI1"	0.947795952574073	0.227936190232243	0.0334668679504932	1.10180533377561e-05	0.632963067021091	0.446082539426266	0.223881232090279	0.000720511791907026	0.733237969947463	0.50439781533366	0.000805144343490165	0.0498498700776101	0.0101273927497238	0.0129148063372129	5.07083470162596e-06
"ABI2"	0.00528308621062029	0.00112079316050786	0.00489092086680678	0.079370961663034	0.006728027417201	0.806120710982366	0.539950432691777	7.37900505650714e-05	0.579987263076586	0.530825574564884	1.71483021580194e-06	0.631363500434791	5.5302269676166e-05	0.957232160624724	0.000102552901320042
"ABI3"	0.0135097621755793	6.23780967606035e-06	0.00155396304936432	0.198968104248855	0.365435178378251	0.474586759053569	2.67167378998535e-06	0.000894182248328762	0.00282553295765552	3.81333179678579e-15	6.81167186132595e-08	3.03066552514576e-08	0.268984068883428	0.061964068053552	0.726720783080864
"ABI3BP"	6.81270511656002e-05	0.938066486499397	1.56860760839279e-11	0.00232746004337006	4.80455113030004e-07	0.000189967739715676	0.396714244151472	0.268090097891	0.926585932099892	1.29003540160308e-12	0.00224644888231033	3.98338676314163e-07	0.0068382315203432	0.138421080867522	0.251236835598424
"ABL1"	0.452862461506541	0.68297117250684	0.00155105340636396	0.396203774639374	0.0171592633566806	0.7569995133805	0.246050763316831	0.969377992903825	0.472433829273661	0.00574881482573979	0.685511236422151	0.0603699235687363	0.123551233286007	0.651068619473674	0.343074839321526
"ABL2"	0.00114993382151937	0.81996262434928	5.66754686303303e-05	0.986980113938876	0.735449123441151	0.00419922170813608	0.791443765008003	0.00320800701311388	0.000992138829005374	7.7882524532477e-05	0.776786216538484	0.497036767839044	0.00121240096316652	3.6507771918865e-05	0.821472411400358
"ABLIM1"	0.000525669254398567	0.00191698626337454	0.00458848629719078	1.8517254810251e-05	0.00101753485734607	0.352175974470614	0.214575107584205	0.867468517766834	0.45132239944889	0.652298169442326	0.108009169765985	0.888709503535499	0.0617905337638781	0.614942233775193	0.22832987031964
"ABLIM2"	7.19735188477347e-08	0.000107268097791647	2.78343134637904e-06	0.123601317182892	2.79912736601956e-07	0.0136054803223968	0.0462903481272436	0.000186666357748558	0.193438402215421	0.54433538667906	0.0762432721271328	0.176975623183102	0.0308309559570782	0.518378997428007	0.00730270535622864
"ABLIM3"	0.00599660733278517	0.00945622534185865	3.61587997023495e-09	3.0988219637236e-06	2.95428246086264e-07	0.549455620919692	0.186304869393544	0.289421057193649	0.378719480739428	0.00042336211483975	0.0131129713362788	0.0083475563978995	0.84078059124522	0.677014956439871	0.905651252020519
"ABO"	0.641656714892667	0.943858751582498	0.0772436786624811	0.254579010715657	0.500166903949187	0.627339573782777	0.600661032945083	0.176832654337975	0.383217077046045	0.0403141390944772	0.273883946299075	0.560170346553159	0.00920820856206039	0.0182289048625445	0.690215863347157
"ABR"	0.0185582912398828	0.966063418431417	0.000883544419674872	0.00467968291047773	3.16073746046644e-07	0.0291432232202285	2.62129296584424e-06	1.16950354908194e-05	3.39523630438785e-09	0.000242991389367997	0.00257942912747357	1.02853121019774e-07	0.929865616987124	0.0524479373525631	0.154201622368899
"ABRACL"	0.316823560703533	0.0480897106578167	0.00357695048786932	0.0181878021462792	0.00291919112480745	0.747320753442714	0.458487951380911	0.453642260434875	0.381775434193301	0.497315715235673	0.586965584802129	0.39402778251327	0.997834821504343	0.856044504234089	0.891713302764982
"ABRAXAS1"	0.760977164056551	0.985819132652927	0.407655169049435	0.805952388298328	0.637550799102155	0.772557943598264	0.414434607251087	0.931450290370889	0.559169875331965	0.389112446799721	0.769964726820761	0.650792303737067	0.368007932396104	0.817188378622652	0.562215885189273
"ABRAXAS2"	0.190505649342861	0.818918271073683	0.601192970428683	5.77120342920736e-06	0.00499838068396123	0.33635833347281	0.102758406249629	1.43837692519747e-06	0.00107359028404983	0.339654555003921	5.77240780241721e-07	0.00100714319372007	6.21108858996253e-05	0.0311910553038268	0.0621192003065148
"ABT1"	8.45442173632369e-05	0.0830757302295114	6.38999968942052e-11	2.00186783481194e-06	7.45121001267892e-08	0.0170163399874707	0.476361199086027	0.889721168877333	0.913048571147612	2.25316497535153e-07	0.000952294368158365	0.000170268139956783	0.491385343190106	0.403722844994723	0.982776736714686
"ABTB1"	0.288264314849558	0.288588251931491	0.00817760075789832	0.98993036220562	0.932747127273606	0.0535999957840608	0.60689778815556	0.35133203646782	0.402994217585861	2.00561045160042e-05	0.28304623704174	0.185649558147887	0.0399956533342659	0.0222288974610091	0.959428506795521
"ABTB2"	0.98824861896713	0.0318127431684448	0.562754520907076	0.714709982095528	0.0578553626855699	0.13920301846318	0.77147627826352	0.81097896994116	0.244020339409596	0.0691514347945476	0.125501173174017	0.799183521258118	0.940826946134182	0.235502291485768	0.302181494755851
"ACAA1"	0.0611340507857306	0.0277742786533326	0.00139934097641643	8.72513140361864e-09	9.09378864014163e-07	0.883071654080363	0.83725976281994	0.00437050594458319	0.133357243591497	0.45788182914495	4.87345033552214e-05	0.00563246382567728	0.00129678187297853	0.0662687398201629	0.17789095345861
"ACAA2"	0.00506467866035843	0.236026887157072	5.75008819756922e-06	0.784904021288808	8.02141543342492e-09	0.105299852043954	0.795048712907921	0.00518683963932738	0.178000524187747	0.000789008382632093	0.128272266048614	2.60817562329369e-06	7.05550667747088e-05	0.132527734009828	3.68240719580364e-07
"ACACA"	0.49517981104882	0.301438769999585	0.0299933231551852	0.221552382312779	0.579986177447019	0.129950694955598	0.572408099091507	0.101954096091965	0.318393106238233	0.000173506124016469	0.828204842810111	0.601378602406182	0.0026177239981423	0.00915061371544465	0.574471589858913
