"cell_genes"	"cell_type"	"k"
"MOK"	"Ciliated"	"Cluster 2"
"PKIG"	"Ciliated"	"Cluster 2"
"AGR3"	"Ciliated"	"Cluster 2"
"PPP1R32"	"Ciliated"	"Cluster 2"
"PFN2"	"Ciliated"	"Cluster 2"
"OSBPL6"	"Ciliated"	"Cluster 2"
"MAPRE3"	"Ciliated"	"Cluster 2"
"CCDC103"	"Ciliated"	"Cluster 2"
"ZDHHC1"	"Ciliated"	"Cluster 2"
"CRNDE"	"Ciliated"	"Cluster 2"
"C20orf96"	"Ciliated"	"Cluster 2"
"SQLE"	"Ciliated"	"Cluster 2"
"B9D2"	"Ciliated"	"Cluster 2"
"C4orf48"	"Ciliated"	"Cluster 2"
"FGF14"	"Ciliated"	"Cluster 2"
"ARL3"	"Ciliated"	"Cluster 2"
"C2orf81"	"Ciliated"	"Cluster 2"
"WDR93"	"Ciliated"	"Cluster 2"
"MARCH10"	"Ciliated"	"Cluster 2"
"LZTFL1"	"Ciliated"	"Cluster 2"
"UNC119B"	"Ciliated"	"Cluster 2"
"CLMN"	"Ciliated"	"Cluster 2"
"IQCK"	"Ciliated"	"Cluster 2"
"MUC15"	"Ciliated"	"Cluster 2"
"NUCB2"	"Ciliated"	"Cluster 2"
"CCP110"	"Ciliated"	"Cluster 2"
"IFT46"	"Ciliated"	"Cluster 2"
"KIF3A"	"Ciliated"	"Cluster 2"
"AZIN1"	"Ciliated"	"Cluster 2"
"IFT81"	"Ciliated"	"Cluster 2"
"LOC100506990"	"Ciliated"	"Cluster 2"
"LCA5"	"Ciliated"	"Cluster 2"
"ANKUB1"	"Ciliated"	"Cluster 2"
"CLIC6"	"Ciliated"	"Cluster 2"
"FUZ"	"Ciliated"	"Cluster 2"
"GSTA3"	"Ciliated"	"Cluster 2"
"WDR60"	"Ciliated"	"Cluster 2"
"DMKN"	"Ciliated"	"Cluster 2"
"TEKT4"	"Ciliated"	"Cluster 2"
"KTN1"	"Ciliated"	"Cluster 2"
