"cell_genes"	"cell_type"	"k"
"VAMP8"	"Macrophage"	"Cluster 47"
"YWHAH"	"Macrophage"	"Cluster 47"
"PSMA6"	"Macrophage"	"Cluster 47"
"LAP3"	"Macrophage"	"Cluster 47"
"IL1B"	"Macrophage"	"Cluster 47"
"GLUL"	"Macrophage"	"Cluster 47"
"KYNU"	"Macrophage"	"Cluster 47"
"DYNLL1"	"Macrophage"	"Cluster 47"
"RTN4"	"Macrophage"	"Cluster 47"
"ETHE1"	"Macrophage"	"Cluster 47"
"BCL2A1"	"Macrophage"	"Cluster 47"
"ATOX1"	"Macrophage"	"Cluster 47"
"PLIN2"	"Macrophage"	"Cluster 47"
"ARL4A"	"Macrophage"	"Cluster 47"
"HLA-DQA2"	"Macrophage"	"Cluster 47"
"PSAP"	"Macrophage"	"Cluster 47"
"APLP2"	"Macrophage"	"Cluster 47"
"PLD3"	"Macrophage"	"Cluster 47"
"IGFBP2"	"Macrophage"	"Cluster 47"
"ATP6V0D1"	"Macrophage"	"Cluster 47"
"CTNNB1"	"Macrophage"	"Cluster 47"
"SCPEP1"	"Macrophage"	"Cluster 47"
"IL1RN"	"Macrophage"	"Cluster 47"
"DECR1"	"Macrophage"	"Cluster 47"
"LIPA"	"Macrophage"	"Cluster 47"
"ATP6V0C"	"Macrophage"	"Cluster 47"
"ATP6V1E1"	"Macrophage"	"Cluster 47"
"AKR1A1"	"Macrophage"	"Cluster 47"
"UBB"	"Macrophage"	"Cluster 47"
"ASAH1"	"Macrophage"	"Cluster 47"
"LAMP1"	"Macrophage"	"Cluster 47"
"OAZ1"	"Macrophage"	"Cluster 47"
"PSMA7"	"Macrophage"	"Cluster 47"
"SDCBP"	"Macrophage"	"Cluster 47"
"SLC16A3"	"Macrophage"	"Cluster 47"
"CST3"	"Macrophage"	"Cluster 47"
"HLA-DPA1"	"Macrophage"	"Cluster 47"
"CAT"	"Macrophage"	"Cluster 47"
"VPS29"	"Macrophage"	"Cluster 47"
"HSP90AA1"	"Macrophage"	"Cluster 47"
"HN1"	"Macrophage"	"Cluster 47"
"MT1F"	"Macrophage"	"Cluster 47"
"PPT1"	"Macrophage"	"Cluster 47"
"TYMP"	"Macrophage"	"Cluster 47"
"SNX2"	"Macrophage"	"Cluster 47"
"PYCARD"	"Macrophage"	"Cluster 47"
"SFTPC"	"Macrophage"	"Cluster 47"
"THBD"	"Macrophage"	"Cluster 47"
"ATP5G3"	"Macrophage"	"Cluster 47"
"CYBA"	"Macrophage"	"Cluster 47"
"GBP1"	"Macrophage"	"Cluster 47"
"MDH1"	"Macrophage"	"Cluster 47"
"BCAP31"	"Macrophage"	"Cluster 47"
"CLTA"	"Macrophage"	"Cluster 47"
"MT2A"	"Macrophage"	"Cluster 47"
"NUCB1"	"Macrophage"	"Cluster 47"
"NMB"	"Macrophage"	"Cluster 47"
"ISG15"	"Macrophage"	"Cluster 47"
"ALDOA"	"Macrophage"	"Cluster 47"
"TCEB2"	"Macrophage"	"Cluster 47"
"AP2S1"	"Macrophage"	"Cluster 47"
"CAMP"	"Macrophage"	"Cluster 47"
"CTSS"	"Macrophage"	"Cluster 47"
"VIM"	"Macrophage"	"Cluster 47"
"CCL20"	"Macrophage"	"Cluster 47"
"GPX1"	"Macrophage"	"Cluster 47"
"POMP"	"Macrophage"	"Cluster 47"
"IFI27"	"Macrophage"	"Cluster 47"
"MYDGF"	"Macrophage"	"Cluster 47"
"HLA-DPB1"	"Macrophage"	"Cluster 47"
"C1orf162"	"Macrophage"	"Cluster 47"
"REEP5"	"Macrophage"	"Cluster 47"
"S100A4"	"Macrophage"	"Cluster 47"
"MT1E"	"Macrophage"	"Cluster 47"
"PKM"	"Macrophage"	"Cluster 47"
"LAMTOR1"	"Macrophage"	"Cluster 47"
"TAGLN2"	"Macrophage"	"Cluster 47"
"CD52"	"Macrophage"	"Cluster 47"
"YBX1"	"Macrophage"	"Cluster 47"
"RNH1"	"Macrophage"	"Cluster 47"
"GNG5"	"Macrophage"	"Cluster 47"
"MT1G"	"Macrophage"	"Cluster 47"
"FKBP1A"	"Macrophage"	"Cluster 47"
"LGALS1"	"Macrophage"	"Cluster 47"
"RPS27L"	"Macrophage"	"Cluster 47"
"SNX3"	"Macrophage"	"Cluster 47"
"BSG"	"Macrophage"	"Cluster 47"
"PSME2"	"Macrophage"	"Cluster 47"
"CXCL8"	"Macrophage"	"Cluster 47"
"TNIP3"	"Macrophage"	"Cluster 47"
"TNFAIP6"	"Macrophage"	"Cluster 47"
"SOD2"	"Macrophage"	"Cluster 47"
"MT1X"	"Macrophage"	"Cluster 47"
"TUBA1B"	"Proliferating.Macrophage"	"Cluster 48"
"H2AFZ"	"Proliferating.Macrophage"	"Cluster 48"
"TUBB"	"Proliferating.Macrophage"	"Cluster 48"
"HMGN2"	"Proliferating.Macrophage"	"Cluster 48"
"TK1"	"Proliferating.Macrophage"	"Cluster 48"
"KIAA0101"	"Proliferating.Macrophage"	"Cluster 48"
"TYMS"	"Proliferating.Macrophage"	"Cluster 48"
"CDK1"	"Proliferating.Macrophage"	"Cluster 48"
"UBE2C"	"Proliferating.Macrophage"	"Cluster 48"
"STMN1"	"Proliferating.Macrophage"	"Cluster 48"
"BIRC5"	"Proliferating.Macrophage"	"Cluster 48"
"NUSAP1"	"Proliferating.Macrophage"	"Cluster 48"
"MKI67"	"Proliferating.Macrophage"	"Cluster 48"
"CENPW"	"Proliferating.Macrophage"	"Cluster 48"
"RAD51AP1"	"Proliferating.Macrophage"	"Cluster 48"
"MARCO"	"Proliferating.Macrophage"	"Cluster 48"
"MAD2L1"	"Proliferating.Macrophage"	"Cluster 48"
"CEP55"	"Proliferating.Macrophage"	"Cluster 48"
"HMMR"	"Proliferating.Macrophage"	"Cluster 48"
"FABP4"	"Proliferating.Macrophage"	"Cluster 48"
"CCNB2"	"Proliferating.Macrophage"	"Cluster 48"
"ZWINT"	"Proliferating.Macrophage"	"Cluster 48"
"TOP2A"	"Proliferating.Macrophage"	"Cluster 48"
"GGH"	"Proliferating.Macrophage"	"Cluster 48"
"CDKN3"	"Proliferating.Macrophage"	"Cluster 48"
"PRC1"	"Proliferating.Macrophage"	"Cluster 48"
"CKAP2L"	"Proliferating.Macrophage"	"Cluster 48"
"GRN"	"Proliferating.Macrophage"	"Cluster 48"
"CENPK"	"Proliferating.Macrophage"	"Cluster 48"
"TPX2"	"Proliferating.Macrophage"	"Cluster 48"
"ASF1B"	"Proliferating.Macrophage"	"Cluster 48"
"MND1"	"Proliferating.Macrophage"	"Cluster 48"
"GTSE1"	"Proliferating.Macrophage"	"Cluster 48"
"RRM2"	"Proliferating.Macrophage"	"Cluster 48"
"NUF2"	"Proliferating.Macrophage"	"Cluster 48"
"HP"	"Proliferating.Macrophage"	"Cluster 48"
"CENPM"	"Proliferating.Macrophage"	"Cluster 48"
"CENPF"	"Proliferating.Macrophage"	"Cluster 48"
"SPC25"	"Proliferating.Macrophage"	"Cluster 48"
"CENPN"	"Proliferating.Macrophage"	"Cluster 48"
"CLSPN"	"Proliferating.Macrophage"	"Cluster 48"
"CKS1B"	"Proliferating.Macrophage"	"Cluster 48"
"APOC1"	"Proliferating.Macrophage"	"Cluster 48"
"VSIG4"	"Proliferating.Macrophage"	"Cluster 48"
"C1QB"	"Proliferating.Macrophage"	"Cluster 48"
"AURKB"	"Proliferating.Macrophage"	"Cluster 48"
"LGALS3"	"Proliferating.Macrophage"	"Cluster 48"
"CDT1"	"Proliferating.Macrophage"	"Cluster 48"
"FN1"	"Proliferating.Macrophage"	"Cluster 48"
"LGALS3BP"	"Proliferating.Macrophage"	"Cluster 48"
"CCDC34"	"Proliferating.Macrophage"	"Cluster 48"
"NDC80"	"Proliferating.Macrophage"	"Cluster 48"
"UBE2T"	"Proliferating.Macrophage"	"Cluster 48"
"LPL"	"Proliferating.Macrophage"	"Cluster 48"
"SMC2"	"Proliferating.Macrophage"	"Cluster 48"
"MGST3"	"Proliferating.Macrophage"	"Cluster 48"
"CENPU"	"Proliferating.Macrophage"	"Cluster 48"
"GPNMB"	"Proliferating.Macrophage"	"Cluster 48"
"CENPA"	"Proliferating.Macrophage"	"Cluster 48"
"MGST1"	"Proliferating.Macrophage"	"Cluster 48"
"ALDH2"	"Proliferating.Macrophage"	"Cluster 48"
"WDR34"	"Proliferating.Macrophage"	"Cluster 48"
"FAM111B"	"Proliferating.Macrophage"	"Cluster 48"
"SERPING1"	"Proliferating.Macrophage"	"Cluster 48"
"PHLDA3"	"Proliferating.Macrophage"	"Cluster 48"
"CYP27A1"	"Proliferating.Macrophage"	"Cluster 48"
"HMGB3"	"Proliferating.Macrophage"	"Cluster 48"
"TMEM106C"	"Proliferating.Macrophage"	"Cluster 48"
"HMGB1"	"Proliferating.Macrophage"	"Cluster 48"
"C1QA"	"Proliferating.Macrophage"	"Cluster 48"
"FABP5"	"Proliferating.Macrophage"	"Cluster 48"
"DHFR"	"Proliferating.Macrophage"	"Cluster 48"
"ASPM"	"Proliferating.Macrophage"	"Cluster 48"
"MRC1"	"Proliferating.Macrophage"	"Cluster 48"
"TUBB4B"	"Proliferating.Macrophage"	"Cluster 48"
"SGMS2"	"Proliferating.Macrophage"	"Cluster 48"
"CCL23"	"Proliferating.Macrophage"	"Cluster 48"
"DTYMK"	"Proliferating.Macrophage"	"Cluster 48"
"C1QC"	"Proliferating.Macrophage"	"Cluster 48"
"TUBA1C"	"Proliferating.Macrophage"	"Cluster 48"
"CDC20"	"Proliferating.Macrophage"	"Cluster 48"
"PPARG"	"Proliferating.Macrophage"	"Cluster 48"
"RNASEH2A"	"Proliferating.Macrophage"	"Cluster 48"
"OLR1"	"Proliferating.Macrophage"	"Cluster 48"
"CCNB1"	"Proliferating.Macrophage"	"Cluster 48"
"FAM111A"	"Proliferating.Macrophage"	"Cluster 48"
"MCEMP1"	"Proliferating.Macrophage"	"Cluster 48"
"MS4A4A"	"Proliferating.Macrophage"	"Cluster 48"
"PTTG1"	"Proliferating.Macrophage"	"Cluster 48"
"CKS2"	"Proliferating.Macrophage"	"Cluster 48"
"TREM1"	"Proliferating.Macrophage"	"Cluster 48"
"RETN"	"Proliferating.Macrophage"	"Cluster 48"
"RRM1"	"Proliferating.Macrophage"	"Cluster 48"
"PHGDH"	"Proliferating.Macrophage"	"Cluster 48"
"DEFB1"	"Proliferating.Macrophage"	"Cluster 48"
"GMNN"	"Proliferating.Macrophage"	"Cluster 48"
"TUBB6"	"Proliferating.Macrophage"	"Cluster 48"
"FBP1"	"Proliferating.Macrophage"	"Cluster 48"
"PDLIM1"	"Proliferating.Macrophage"	"Cluster 48"
"CTSD"	"Proliferating.Macrophage"	"Cluster 48"
"PCOLCE2"	"Proliferating.Macrophage"	"Cluster 48"
"ARL6IP1"	"Proliferating.Macrophage"	"Cluster 48"
"HADH"	"Proliferating.Macrophage"	"Cluster 48"
"CES1"	"Proliferating.Macrophage"	"Cluster 48"
"AKR1C3"	"Proliferating.Macrophage"	"Cluster 48"
"SERPINA1"	"Proliferating.Macrophage"	"Cluster 48"
"INHBA"	"Proliferating.Macrophage"	"Cluster 48"
"S100A13"	"Proliferating.Macrophage"	"Cluster 48"
"RHEB"	"Proliferating.Macrophage"	"Cluster 48"
"OASL"	"Proliferating.Macrophage"	"Cluster 48"
"ACP5"	"Proliferating.Macrophage"	"Cluster 48"
"APOE"	"Proliferating.Macrophage"	"Cluster 48"
"VMO1"	"Proliferating.Macrophage"	"Cluster 48"
"NUPR1"	"Proliferating.Macrophage"	"Cluster 48"
"SKA2"	"Proliferating.Macrophage"	"Cluster 48"
"CDKN2C"	"Proliferating.Macrophage"	"Cluster 48"
"LRPAP1"	"Proliferating.Macrophage"	"Cluster 48"
"CTSC"	"Proliferating.Macrophage"	"Cluster 48"
"SCCPDH"	"Proliferating.Macrophage"	"Cluster 48"
"FEN1"	"Proliferating.Macrophage"	"Cluster 48"
"ACTN1"	"Proliferating.Macrophage"	"Cluster 48"
"FHL1"	"Proliferating.Macrophage"	"Cluster 48"
"ABCG1"	"Proliferating.Macrophage"	"Cluster 48"
"PCNA"	"Proliferating.Macrophage"	"Cluster 48"
"SMC4"	"Proliferating.Macrophage"	"Cluster 48"
"GSTO1"	"Proliferating.Macrophage"	"Cluster 48"
"SCD"	"Proliferating.Macrophage"	"Cluster 48"
"MSR1"	"Proliferating.Macrophage"	"Cluster 48"
"PLK1"	"Proliferating.Macrophage"	"Cluster 48"
"COPRS"	"Proliferating.Macrophage"	"Cluster 48"
"IFI6"	"Proliferating.Macrophage"	"Cluster 48"
"TREM2"	"Proliferating.Macrophage"	"Cluster 48"
"HEXB"	"Proliferating.Macrophage"	"Cluster 48"
"HNMT"	"Proliferating.Macrophage"	"Cluster 48"
"SAC3D1"	"Proliferating.Macrophage"	"Cluster 48"
"ACO1"	"Proliferating.Macrophage"	"Cluster 48"
"CENPE"	"Proliferating.Macrophage"	"Cluster 48"
"CCL18"	"Proliferating.Macrophage"	"Cluster 48"
"AGRP"	"Proliferating.Macrophage"	"Cluster 48"
"PPIC"	"Proliferating.Macrophage"	"Cluster 48"
"PLBD1"	"Proliferating.Macrophage"	"Cluster 48"
"FCGR1A"	"Proliferating.Macrophage"	"Cluster 48"
"HERC5"	"Proliferating.Macrophage"	"Cluster 48"
"TUBG1"	"Proliferating.Macrophage"	"Cluster 48"
"H2AFX"	"Proliferating.Macrophage"	"Cluster 48"
"RBP4"	"Proliferating.Macrophage"	"Cluster 48"
"GAA"	"Proliferating.Macrophage"	"Cluster 48"
"UBE2S"	"Proliferating.Macrophage"	"Cluster 48"
"APIP"	"Proliferating.Macrophage"	"Cluster 48"
"BHLHE41"	"Proliferating.Macrophage"	"Cluster 48"
"ANXA5"	"Proliferating.Macrophage"	"Cluster 48"
"RAB13"	"Proliferating.Macrophage"	"Cluster 48"
"SNX10"	"Proliferating.Macrophage"	"Cluster 48"
"ANXA2"	"Proliferating.Macrophage"	"Cluster 48"
"PTMS"	"Proliferating.Macrophage"	"Cluster 48"
"MCM7"	"Proliferating.Macrophage"	"Cluster 48"
"GLA"	"Proliferating.Macrophage"	"Cluster 48"
"CTSL"	"Proliferating.Macrophage"	"Cluster 48"
"CREG1"	"Proliferating.Macrophage"	"Cluster 48"
"NMB"	"Proliferating.Macrophage"	"Cluster 48"
"CD81"	"Proliferating.Macrophage"	"Cluster 48"
"SEPT11"	"Proliferating.Macrophage"	"Cluster 48"
"ACAT1"	"Proliferating.Macrophage"	"Cluster 48"
"COQ2"	"Proliferating.Macrophage"	"Cluster 48"
"SNRNP25"	"Proliferating.Macrophage"	"Cluster 48"
"CD68"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL3"	"Proliferating.Macrophage"	"Cluster 48"
"UBB"	"Proliferating.Macrophage"	"Cluster 48"
"GCHFR"	"Proliferating.Macrophage"	"Cluster 48"
"CD151"	"Proliferating.Macrophage"	"Cluster 48"
"LAMP2"	"Proliferating.Macrophage"	"Cluster 48"
"KPNA2"	"Proliferating.Macrophage"	"Cluster 48"
"RMDN3"	"Proliferating.Macrophage"	"Cluster 48"
"CD59"	"Proliferating.Macrophage"	"Cluster 48"
"BTG3"	"Proliferating.Macrophage"	"Cluster 48"
"NUCB2"	"Proliferating.Macrophage"	"Cluster 48"
"USP1"	"Proliferating.Macrophage"	"Cluster 48"
"GPCPD1"	"Proliferating.Macrophage"	"Cluster 48"
"SMCO4"	"Proliferating.Macrophage"	"Cluster 48"
"MDH1"	"Proliferating.Macrophage"	"Cluster 48"
"CYB5A"	"Proliferating.Macrophage"	"Cluster 48"
"TSPO"	"Proliferating.Macrophage"	"Cluster 48"
"PNPLA6"	"Proliferating.Macrophage"	"Cluster 48"
"RPA3"	"Proliferating.Macrophage"	"Cluster 48"
"DNASE2"	"Proliferating.Macrophage"	"Cluster 48"
"HN1"	"Proliferating.Macrophage"	"Cluster 48"
"SLC7A7"	"Proliferating.Macrophage"	"Cluster 48"
"COMMD4"	"Proliferating.Macrophage"	"Cluster 48"
"CCDC88A"	"Proliferating.Macrophage"	"Cluster 48"
"GLB1"	"Proliferating.Macrophage"	"Cluster 48"
"RDX"	"Proliferating.Macrophage"	"Cluster 48"
"FTL"	"Proliferating.Macrophage"	"Cluster 48"
"HSP90AA1"	"Proliferating.Macrophage"	"Cluster 48"
"MS4A7"	"Proliferating.Macrophage"	"Cluster 48"
"VPS29"	"Proliferating.Macrophage"	"Cluster 48"
"QSOX1"	"Proliferating.Macrophage"	"Cluster 48"
"MNDA"	"Proliferating.Macrophage"	"Cluster 48"
"PLA2G16"	"Proliferating.Macrophage"	"Cluster 48"
"C2"	"Proliferating.Macrophage"	"Cluster 48"
"RAN"	"Proliferating.Macrophage"	"Cluster 48"
"AGPAT2"	"Proliferating.Macrophage"	"Cluster 48"
"PRDX4"	"Proliferating.Macrophage"	"Cluster 48"
"CTSZ"	"Proliferating.Macrophage"	"Cluster 48"
"CARHSP1"	"Proliferating.Macrophage"	"Cluster 48"
"S100A11"	"Proliferating.Macrophage"	"Cluster 48"
"HIST1H4C"	"Proliferating.Macrophage"	"Cluster 48"
"PGD"	"Proliferating.Macrophage"	"Cluster 48"
"GUSB"	"Proliferating.Macrophage"	"Cluster 48"
"BLVRA"	"Proliferating.Macrophage"	"Cluster 48"
"STRA13"	"Proliferating.Macrophage"	"Cluster 48"
"LTA4H"	"Proliferating.Macrophage"	"Cluster 48"
"LOC731424"	"Proliferating.Macrophage"	"Cluster 48"
"PSMB5"	"Proliferating.Macrophage"	"Cluster 48"
"IGFBP2"	"Proliferating.Macrophage"	"Cluster 48"
"H2AFV"	"Proliferating.Macrophage"	"Cluster 48"
"VKORC1"	"Proliferating.Macrophage"	"Cluster 48"
"ARL4A"	"Proliferating.Macrophage"	"Cluster 48"
"GPX4"	"Proliferating.Macrophage"	"Cluster 48"
"ALOX5"	"Proliferating.Macrophage"	"Cluster 48"
"PLD3"	"Proliferating.Macrophage"	"Cluster 48"
"YWHAH"	"Proliferating.Macrophage"	"Cluster 48"
"HEXA"	"Proliferating.Macrophage"	"Cluster 48"
"CRIP1"	"Proliferating.Macrophage"	"Cluster 48"
"ZDHHC12"	"Proliferating.Macrophage"	"Cluster 48"
"PRDX3"	"Proliferating.Macrophage"	"Cluster 48"
"DUT"	"Proliferating.Macrophage"	"Cluster 48"
"PTPMT1"	"Proliferating.Macrophage"	"Cluster 48"
"SCPEP1"	"Proliferating.Macrophage"	"Cluster 48"
"CAMP"	"Proliferating.Macrophage"	"Cluster 48"
"CSTA"	"Proliferating.Macrophage"	"Cluster 48"
"GBP1"	"Proliferating.Macrophage"	"Cluster 48"
"TXN"	"Proliferating.Macrophage"	"Cluster 48"
"CNIH4"	"Proliferating.Macrophage"	"Cluster 48"
"CTSA"	"Proliferating.Macrophage"	"Cluster 48"
"CTSH"	"Proliferating.Macrophage"	"Cluster 48"
"S100A10"	"Proliferating.Macrophage"	"Cluster 48"
"TAGLN2"	"Proliferating.Macrophage"	"Cluster 48"
"DECR1"	"Proliferating.Macrophage"	"Cluster 48"
"GRINA"	"Proliferating.Macrophage"	"Cluster 48"
"LYZ"	"Proliferating.Macrophage"	"Cluster 48"
"AKR1B1"	"Proliferating.Macrophage"	"Cluster 48"
"DEK"	"Proliferating.Macrophage"	"Cluster 48"
"HSPB1"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL16"	"Proliferating.Macrophage"	"Cluster 48"
"NENF"	"Proliferating.Macrophage"	"Cluster 48"
"YBX1"	"Proliferating.Macrophage"	"Cluster 48"
"NUCKS1"	"Proliferating.Macrophage"	"Cluster 48"
"RTN3"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DRB1"	"Proliferating.Macrophage"	"Cluster 48"
"CTSB"	"Proliferating.Macrophage"	"Cluster 48"
"CD9"	"Proliferating.Macrophage"	"Cluster 48"
"LAP3"	"Proliferating.Macrophage"	"Cluster 48"
"NASP"	"Proliferating.Macrophage"	"Cluster 48"
"LSM4"	"Proliferating.Macrophage"	"Cluster 48"
"AP2S1"	"Proliferating.Macrophage"	"Cluster 48"
"RGCC"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DRA"	"Proliferating.Macrophage"	"Cluster 48"
"RAC1"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DRB5"	"Proliferating.Macrophage"	"Cluster 48"
"CFD"	"Proliferating.Macrophage"	"Cluster 48"
"CSTB"	"Proliferating.Macrophage"	"Cluster 48"
"MT1F"	"Proliferating.Macrophage"	"Cluster 48"
"HMGB2"	"Proliferating.Macrophage"	"Cluster 48"
"APLP2"	"Proliferating.Macrophage"	"Cluster 48"
"EIF4EBP1"	"Proliferating.Macrophage"	"Cluster 48"
"IFI30"	"Proliferating.Macrophage"	"Cluster 48"
"ATP6V1E1"	"Proliferating.Macrophage"	"Cluster 48"
"ALOX5AP"	"Proliferating.Macrophage"	"Cluster 48"
"PSMA6"	"Proliferating.Macrophage"	"Cluster 48"
"IGSF6"	"Proliferating.Macrophage"	"Cluster 48"
"AKR1A1"	"Proliferating.Macrophage"	"Cluster 48"
"MPC2"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DQA1"	"Proliferating.Macrophage"	"Cluster 48"
"FCGRT"	"Proliferating.Macrophage"	"Cluster 48"
"TKT"	"Proliferating.Macrophage"	"Cluster 48"
"CLTA"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DMA"	"Proliferating.Macrophage"	"Cluster 48"
"CAPG"	"Proliferating.Macrophage"	"Cluster 48"
"PPIA"	"Proliferating.Macrophage"	"Cluster 48"
"TMEM14C"	"Proliferating.Macrophage"	"Cluster 48"
"PLIN2"	"Proliferating.Macrophage"	"Cluster 48"
"LIPA"	"Proliferating.Macrophage"	"Cluster 48"
"DCTN3"	"Proliferating.Macrophage"	"Cluster 48"
"COMT"	"Proliferating.Macrophage"	"Cluster 48"
"STXBP2"	"Proliferating.Macrophage"	"Cluster 48"
"GLIPR2"	"Proliferating.Macrophage"	"Cluster 48"
"HNRNPAB"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL5"	"Proliferating.Macrophage"	"Cluster 48"
"ANP32B"	"Proliferating.Macrophage"	"Cluster 48"
"BRI3"	"Proliferating.Macrophage"	"Cluster 48"
"ANAPC11"	"Proliferating.Macrophage"	"Cluster 48"
"SNX2"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DRB6"	"Proliferating.Macrophage"	"Cluster 48"
"MRPL51"	"Proliferating.Macrophage"	"Cluster 48"
"ASAH1"	"Proliferating.Macrophage"	"Cluster 48"
"ACADVL"	"Proliferating.Macrophage"	"Cluster 48"
"ATP6V0B"	"Proliferating.Macrophage"	"Cluster 48"
"RPS27L"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DQB1"	"Proliferating.Macrophage"	"Cluster 48"
"SUMO3"	"Proliferating.Macrophage"	"Cluster 48"
"CALM2"	"Proliferating.Macrophage"	"Cluster 48"
"VIM"	"Proliferating.Macrophage"	"Cluster 48"
"PSAP"	"Proliferating.Macrophage"	"Cluster 48"
"SPI1"	"Proliferating.Macrophage"	"Cluster 48"
"NUCB1"	"Proliferating.Macrophage"	"Cluster 48"
"ATP6V0D1"	"Proliferating.Macrophage"	"Cluster 48"
"IDH2"	"Proliferating.Macrophage"	"Cluster 48"
"PPT1"	"Proliferating.Macrophage"	"Cluster 48"
"GYPC"	"Proliferating.Macrophage"	"Cluster 48"
"MYL6"	"Proliferating.Macrophage"	"Cluster 48"
"VAMP8"	"Proliferating.Macrophage"	"Cluster 48"
"CD63"	"Proliferating.Macrophage"	"Cluster 48"
"ATP5G3"	"Proliferating.Macrophage"	"Cluster 48"
"ATP1B3"	"Proliferating.Macrophage"	"Cluster 48"
"CD74"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DPA1"	"Proliferating.Macrophage"	"Cluster 48"
"H2AFY"	"Proliferating.Macrophage"	"Cluster 48"
"PSMA4"	"Proliferating.Macrophage"	"Cluster 48"
"SIVA1"	"Proliferating.Macrophage"	"Cluster 48"
"RANBP1"	"Proliferating.Macrophage"	"Cluster 48"
"CD47"	"Proliferating.Macrophage"	"Cluster 48"
"PKM"	"Proliferating.Macrophage"	"Cluster 48"
"RTN4"	"Proliferating.Macrophage"	"Cluster 48"
"LDHA"	"Proliferating.Macrophage"	"Cluster 48"
"LY6E"	"Proliferating.Macrophage"	"Cluster 48"
"PRDX1"	"Proliferating.Macrophage"	"Cluster 48"
"ENY2"	"Proliferating.Macrophage"	"Cluster 48"
"RNH1"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL8"	"Proliferating.Macrophage"	"Cluster 48"
"TMBIM6"	"Proliferating.Macrophage"	"Cluster 48"
"BSG"	"Proliferating.Macrophage"	"Cluster 48"
"GNG5"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL10"	"Proliferating.Macrophage"	"Cluster 48"
"CST3"	"Proliferating.Macrophage"	"Cluster 48"
"TMEM59"	"Proliferating.Macrophage"	"Cluster 48"
"DYNLL1"	"Proliferating.Macrophage"	"Cluster 48"
"TALDO1"	"Proliferating.Macrophage"	"Cluster 48"
"HLA-DPB1"	"Proliferating.Macrophage"	"Cluster 48"
"OAZ1"	"Proliferating.Macrophage"	"Cluster 48"
"MT1G"	"Proliferating.Macrophage"	"Cluster 48"
"FTH1"	"Proliferating.Macrophage"	"Cluster 48"
"SLC25A5"	"Proliferating.Macrophage"	"Cluster 48"
"S100A6"	"Proliferating.Macrophage"	"Cluster 48"
"CCL20"	"Proliferating.Macrophage"	"Cluster 48"
"RHOA"	"Proliferating.Macrophage"	"Cluster 48"
"GSTP1"	"Proliferating.Macrophage"	"Cluster 48"
"FCER1G"	"Proliferating.Macrophage"	"Cluster 48"
"IL1B"	"Proliferating.Macrophage"	"Cluster 48"
"ENO1"	"Proliferating.Macrophage"	"Cluster 48"
"DBI"	"Proliferating.Macrophage"	"Cluster 48"
"PSME2"	"Proliferating.Macrophage"	"Cluster 48"
"IFI27"	"Proliferating.Macrophage"	"Cluster 48"
"LGALS1"	"Proliferating.Macrophage"	"Cluster 48"
"TNFAIP6"	"Proliferating.Macrophage"	"Cluster 48"
"MT2A"	"Proliferating.Macrophage"	"Cluster 48"
"CXCL1"	"Proliferating.Macrophage"	"Cluster 48"
"MT1E"	"Proliferating.Macrophage"	"Cluster 48"
"MT1X"	"Proliferating.Macrophage"	"Cluster 48"
"IRF7"	"Plasmacytoid.Dendritic"	"Cluster 49"
"PPP1R14B"	"Plasmacytoid.Dendritic"	"Cluster 49"
"LILRA4"	"Plasmacytoid.Dendritic"	"Cluster 49"
"PLD4"	"Plasmacytoid.Dendritic"	"Cluster 49"
"SEC61B"	"Plasmacytoid.Dendritic"	"Cluster 49"
"SCT"	"Plasmacytoid.Dendritic"	"Cluster 49"
"IRF8"	"Plasmacytoid.Dendritic"	"Cluster 49"
"SERPINF1"	"Plasmacytoid.Dendritic"	"Cluster 49"
"LRRC26"	"Plasmacytoid.Dendritic"	"Cluster 49"
"TSPAN13"	"Plasmacytoid.Dendritic"	"Cluster 49"
"MAP1A"	"Plasmacytoid.Dendritic"	"Cluster 49"
"TCF4"	"Plasmacytoid.Dendritic"	"Cluster 49"
"CLEC4C"	"Plasmacytoid.Dendritic"	"Cluster 49"
"IL3RA"	"Plasmacytoid.Dendritic"	"Cluster 49"
"SMPD3"	"Plasmacytoid.Dendritic"	"Cluster 49"
"UGCG"	"Plasmacytoid.Dendritic"	"Cluster 49"
"CLN8"	"Plasmacytoid.Dendritic"	"Cluster 49"
"CCDC50"	"Plasmacytoid.Dendritic"	"Cluster 49"
"SPIB"	"Plasmacytoid.Dendritic"	"Cluster 49"
"MZB1"	"Plasmacytoid.Dendritic"	"Cluster 49"
"PTPRS"	"Plasmacytoid.Dendritic"	"Cluster 49"
