""	"Subtype1-Subtype2"	"Subtype1-Subtype3"	"Subtype1-Subtype4"	"Subtype1-Subtype5"	"Subtype1-Subtype6"	"Subtype2-Subtype3"	"Subtype2-Subtype4"	"Subtype2-Subtype5"	"Subtype2-Subtype6"	"Subtype3-Subtype4"	"Subtype3-Subtype5"	"Subtype3-Subtype6"	"Subtype4-Subtype5"	"Subtype4-Subtype6"	"Subtype5-Subtype6"
"ABHD4"	0.21964422616816	0.0774674424478058	-0.0906126469052555	0.339150464349502	0.0481790186235172	-0.142176783720354	-0.310256873073415	0.119506238181342	-0.171465207544643	-0.168080089353061	0.261683021901696	-0.0292884238242886	0.429763111254757	0.138791665528773	-0.290971445725984
"ABHD5"	-0.280222155550148	0.0196778392758822	-0.121251745257849	0.347024377180491	0.208410134145861	0.299899994826031	0.158970410292299	0.62724653273064	0.488632289696009	-0.140929584533732	0.327346537904609	0.188732294869979	0.468276122438341	0.32966187940371	-0.138614243034631
"ABHD6"	0.0919763513479404	-0.0147642879367571	0.319903945648079	0.110146459058693	-0.000250886631721792	-0.106740639284697	0.227927594300139	0.0181701077107526	-0.0922272379796622	0.334668233584836	0.12491074699545	0.0145134013050353	-0.209757486589386	-0.320154832279801	-0.110397345690415
"ABI1"	0.00734181062160472	0.0852647069893972	0.125409729551574	0.31469096363101	-0.0340092503990124	0.0779228963677925	0.11806791892997	0.307349153009405	-0.0413510610206171	0.040145022562177	0.229426256641613	-0.11927395738841	0.189281234079436	-0.159418979950587	-0.348700214030022
"ABI2"	0.415492985536622	0.36291408558507	0.29489021396216	-0.23105143490436	0.303169877800361	-0.0525788999515528	-0.120602771574462	-0.646544420440982	-0.112323107736261	-0.0680238716229093	-0.59396552048943	-0.0597442077847082	-0.52594164886652	0.00827966383820104	0.534221312704721
"ABI3"	-0.271443297225191	-0.368834821016274	0.24260566715526	0.126692537755477	0.0804347666903764	-0.0973915237910822	0.514048964380452	0.398135834980668	0.351878063915568	0.611440488171534	0.49552735877175	0.44926958770665	-0.115913129399784	-0.162170900464884	-0.0462577710651002
"ABI3BP"	0.885567513451219	0.0212006400170459	1.12052336776236	0.585681390272625	0.850425152133481	-0.864366873434173	0.234955854311142	-0.299886123178594	-0.0351423613177381	1.09932272774532	0.564480750255579	0.829224512116435	-0.534841977489736	-0.27009821562888	0.264743761860856
"ABL1"	0.0692239733997117	0.0338513571895497	0.180107098584147	0.0644097348443914	0.146042010313683	-0.035372616210162	0.110883125184435	-0.00481423855532028	0.0768180369139708	0.146255741394597	0.0305583776548417	0.112190653124133	-0.115697363739756	-0.0340650882704645	0.0816322754692911
"ABL2"	-0.296119698326676	-0.0231776798734452	-0.259266871553802	0.00145361013023224	0.0271692813400321	0.272942018453231	0.0368528267728747	0.297573308456908	0.323288979666708	-0.236089191680356	0.0246312900036774	0.0503469612134773	0.260720481684034	0.286436152893834	0.0257156712097999
"ABLIM1"	0.529572127019628	0.358551507293116	0.306699456342955	0.568294122380767	0.377943851863069	-0.171020619726512	-0.222872670676672	0.0387219953611391	-0.151628275156559	-0.0518520509501608	0.209742615087651	0.0193923445699529	0.261594666037811	0.0712443955201137	-0.190350270517698
"ABLIM2"	1.14590664265698	0.601475554774207	0.694424222859779	0.287839102548434	0.816063360241576	-0.54443108788277	-0.451482419797198	-0.858067540108543	-0.3298432824154	0.092948668085572	-0.313636452225773	0.214587805467369	-0.406585120311345	0.121639137381797	0.528224257693142
"ABLIM3"	0.596615602066007	0.429593352176871	0.927055213773212	0.876268047725715	0.842353268909812	-0.167022249889136	0.330439611707205	0.279652445659708	0.245737666843805	0.497461861596341	0.446674695548844	0.412759916732941	-0.0507871660474971	-0.0847019448634001	-0.033914778815903
"ABO"	-0.269917572012186	0.0406863826246879	-0.612833975303614	0.499284907430504	0.270600267029022	0.310603954636874	-0.342916403291428	0.769202479442689	0.540517839041208	-0.653520357928302	0.458598524805816	0.229913884404334	1.11211888273412	0.883434242332636	-0.228684640401482
"ABR"	-0.206728470017426	-0.00459168377024693	0.203187983092964	0.212276265224153	0.336925708628317	0.202136786247179	0.409916453110389	0.419004735241579	0.543654178645743	0.207779666863211	0.2168679489944	0.341517392398564	0.00908828213118927	0.133737725535354	0.124649443404164
"ABRACL"	-0.185389923441326	-0.261210249410761	-0.3437129890485	-0.34437177653313	-0.37435007371731	-0.075820325969435	-0.158323065607174	-0.158981853091804	-0.188960150275984	-0.0825027396377391	-0.0831615271223685	-0.113139824306549	-0.000658787484629428	-0.03063708466881	-0.0299782971841806
"ABRAXAS1"	-0.0365233373581317	0.00227596664038669	0.0600430913528095	-0.0239720763151464	0.0383685892608164	0.0387993039985184	0.0965664287109413	0.0125512610429854	0.0748919266189481	0.0577671247124228	-0.0262480429555331	0.0360926226204297	-0.0840151676679559	-0.0216745020919932	0.0623406655759627
"ABRAXAS2"	-0.0917017658765426	-0.0166819135736388	0.0273113686210482	0.257302573231806	0.138158629482706	0.0750198523029038	0.119013134497591	0.349004339108349	0.229860395359248	0.0439932821946869	0.273984486805445	0.154840543056344	0.229991204610758	0.110847260861657	-0.1191439437491
"ABT1"	-0.347947366807233	-0.123872331777591	-0.429278897222559	-0.366833700769196	-0.364306203040738	0.224075035029642	-0.081331530415326	-0.0188863339619634	-0.0163588362335047	-0.305406565444968	-0.242961368991606	-0.240433871263147	0.0624451964533626	0.0649726941818213	0.00252749772845867
"ABTB1"	0.121399315094283	-0.0964595030502581	0.194693345093873	0.00128345907101369	0.00843928719399176	-0.217858818144542	0.0732940299995897	-0.12011585602327	-0.112960027900292	0.291152848144131	0.0977429621212718	0.10489879024425	-0.193409886022859	-0.186254057899881	0.00715582812297807
"ABTB2"	0.00402682824249442	0.311680012347692	0.0852528262697874	0.0686849027032044	0.270449631973125	0.307653184105198	0.081225998027293	0.06465807446071	0.26642280373063	-0.226427186077905	-0.242995109644488	-0.0412303803745675	-0.016567923566583	0.185196805703337	0.20176472926992
"ACAA1"	0.288226197821909	0.255489696653472	0.335130812620949	0.757874386554628	0.553830717215225	-0.032736501168437	0.0469046147990399	0.469648188732719	0.265604519393316	0.0796411159674769	0.502384689901156	0.298341020561753	0.422743573933679	0.218699904594276	-0.204043669339403
"ACAA2"	0.447933226869193	0.161960674691025	0.510998653081454	-0.0448363097461534	0.706756680153863	-0.285972552178168	0.0630654262122611	-0.492769536615347	0.25882345328467	0.349037978390429	-0.206796984437179	0.544796005462838	-0.555834962827608	0.195758027072409	0.751592989900017
