set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
RNASE6	1	NA	1	NA	NA	NA	1	1	2	2	1	1	NA	NA	1	2	10	2	1
RNASE7	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	1	NA	NA	4	1	1
RNASEH1	4	3	3	3	4	3	4	3	5	2	3	2	5	4	4	5	16	5	2
RNASEH2A	12	12	11	14	12	13	12	13	11	11	10	13	9	13	14	13	16	14	9
RNASEH2B	11	10	12	13	9	11	11	12	13	12	10	13	8	10	12	12	16	13	8
RNASEH2C	11	8	11	10	8	12	9	13	8	13	10	13	9	12	12	8	16	13	8
RNASEK	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	NA	NA	4	1	1
RNASEL	26	31	32	31	30	30	34	30	29	34	34	32	30	29	28	27	16	34	26
RNASET2	3	5	4	4	4	2	3	3	4	4	4	4	3	3	2	3	16	5	2
RND3	3	3	5	5	3	4	4	5	3	3	3	4	3	4	5	6	16	6	3
RNF10	7	8	8	7	4	7	8	8	8	10	8	9	6	6	6	6	16	10	4
RNF11	NA	1	NA	NA	1	1	1	1	1	2	1	1	1	1	NA	1	12	2	1
RNF113A	14	13	13	14	11	12	11	10	11	12	15	14	12	13	14	10	16	15	10
RNF114	13	11	10	15	14	11	14	11	11	11	12	9	8	9	10	11	16	15	8
RNF115	1	1	2	2	1	2	2	2	2	3	3	2	2	1	2	2	16	3	1
RNF121	3	3	4	3	3	4	2	3	2	3	2	3	4	3	2	1	16	4	1
RNF123	19	17	20	20	15	16	15	19	22	20	21	17	19	16	22	22	16	22	15
RNF126	4	4	4	5	4	4	3	5	4	5	5	4	4	5	5	5	16	5	3
RNF128	2	3	1	3	1	1	1	NA	NA	2	NA	NA	NA	NA	3	1	10	3	1
RNF13	8	8	7	10	9	9	8	8	9	8	10	9	10	9	8	9	16	10	7
RNF130	6	3	5	5	4	6	4	6	4	6	5	5	3	4	3	3	16	6	3
RNF135	11	8	9	11	10	9	11	11	10	10	9	7	10	8	10	8	16	11	7
RNF138	4	3	3	3	2	4	2	1	1	2	3	1	2	2	1	1	16	4	1
RNF139	3	2	4	3	4	4	5	4	4	4	3	3	3	4	2	5	16	5	2
RNF14	11	13	14	14	13	12	14	14	12	13	14	12	12	14	11	12	16	14	11
RNF141	4	6	3	3	2	4	5	3	3	3	3	4	3	3	3	4	16	6	2
RNF144B	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	2	1	NA	4	2	1
RNF145	3	4	4	5	4	4	2	3	2	3	3	4	2	1	4	1	16	5	1
RNF146	5	6	9	5	6	5	6	7	4	5	6	7	8	6	6	6	16	9	4
RNF149	5	3	4	5	3	3	3	5	5	6	7	5	6	5	5	7	16	7	3
RNF166	1	1	NA	1	1	1	1	1	1	1	1	NA	1	1	1	1	14	1	1
RNF167	5	6	7	7	6	6	6	6	7	6	4	6	6	4	5	4	16	7	4
RNF168	12	7	9	9	9	9	10	10	7	10	8	9	11	10	11	11	16	12	7
RNF169	15	21	17	17	16	21	15	21	14	17	18	19	16	18	18	18	16	21	14
RNF17	NA	NA	NA	NA	1	NA	2	1	1	NA	NA	1	1	NA	1	1	8	2	1
RNF170	6	5	7	7	9	8	8	7	8	7	7	8	9	6	7	8	16	9	5
RNF181	6	2	3	2	3	3	1	1	2	1	1	3	3	3	4	3	16	6	1
RNF185	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	15	1	1
RNF187	4	2	2	4	3	5	3	3	1	4	3	1	4	1	4	2	16	5	1
RNF19A	2	NA	3	2	0	1	NA	3	3	3	5	2	2	1	1	0	12	5	0
RNF19B	1	NA	NA	1	1	3	1	1	2	2	1	2	NA	1	2	0	12	3	0
RNF2	9	9	9	10	8	10	9	8	11	11	11	10	9	11	9	9	16	11	8
RNF20	48	46	47	46	45	46	42	46	42	43	46	42	41	49	53	46	16	53	41
RNF212	1	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	1	NA	1	5	1	1
RNF213	242	263	256	244	241	255	267	237	253	261	276	247	245	252	255	266	16	276	237
RNF214	24	29	24	25	22	27	24	23	22	29	28	27	27	24	27	23	16	29	22
RNF216	12	11	10	9	13	12	9	11	10	11	9	8	13	9	10	8	16	13	8
RNF217	NA	1	1	NA	1	1	NA	1	NA	NA	NA	NA	2	NA	1	NA	7	2	1
RNF219	11	11	10	13	8	12	10	11	11	10	10	11	12	14	13	11	16	14	8
RNF220	6	5	7	8	7	7	7	7	5	9	3	3	4	3	4	6	16	9	3
RNF24	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	1	1
RNF25	16	15	11	13	12	14	14	15	14	12	13	13	12	10	14	12	16	16	10
RNF31	14	14	12	10	14	13	16	12	11	13	11	14	10	8	12	12	16	16	8
RNF34	6	5	6	5	6	6	4	6	5	3	4	4	3	3	5	6	16	6	3
RNF39	2	1	2	2	2	2	1	1	2	NA	2	2	1	2	2	3	15	3	1
RNF4	1	2	3	2	NA	3	NA	2	2	4	2	1	2	4	3	3	14	4	1
RNF40	41	41	43	42	39	42	40	44	41	41	42	44	41	44	46	44	16	46	39
RNF41	4	2	2	1	2	3	2	2	2	2	3	5	2	3	2	9	16	9	1
RNF5	5	5	5	3	4	5	4	4	5	5	4	5	4	5	4	4	16	5	3
RNF6	1	NA	2	2	3	5	1	1	2	2	4	4	5	5	6	4	15	6	1
RNF7	2	1	NA	1	NA	NA	1	1	NA	1	1	2	NA	2	1	1	11	2	1
RNF8	NA	NA	NA	NA	NA	1	1	NA	NA	NA	1	NA	1	2	1	NA	6	2	1
RNFT1	2	3	4	3	3	3	4	3	4	3	3	3	3	4	4	3	16	4	2
RNFT2	1	1	1	NA	NA	1	1	1	NA	1	1	1	NA	1	NA	1	11	1	1
RNGTT	18	14	17	17	16	16	15	14	17	22	16	20	20	20	19	22	16	22	14
RNH1	24	30	33	30	25	25	30	28	27	28	28	27	29	29	29	29	16	33	24
RNLS	4	3	6	5	4	6	5	5	5	7	7	4	8	4	3	6	16	8	3
RNMT	24	26	23	24	23	23	24	26	22	25	25	25	27	28	26	25	16	28	22
RNPC3	8	11	7	12	10	10	11	13	12	13	11	10	9	14	9	11	16	14	7
RNPEP	39	42	43	49	44	41	42	42	40	42	37	39	42	39	42	44	16	49	37
RNPEPL1	6	7	6	5	7	8	6	5	10	7	5	10	5	6	6	5	16	10	5
RNPS1	6	4	6	5	7	3	5	5	4	6	6	2	4	5	4	3	16	7	2
ROBO1	16	17	19	17	15	19	17	17	18	19	17	18	16	15	15	17	16	19	15
ROBO2	4	6	6	8	10	6	9	6	8	9	9	8	10	4	5	5	16	10	4
ROBO4	2	1	1	NA	1	1	NA	3	1	2	NA	2	1	1	1	1	13	3	1
ROCK1	75	76	69	70	71	69	71	77	72	70	70	73	64	73	65	77	16	77	64
ROCK2	76	74	80	83	82	68	75	76	81	76	75	74	81	80	85	77	16	85	68
ROGDI	6	6	5	7	8	6	9	7	7	5	4	8	6	5	4	8	16	9	4
ROMO1	3	4	3	2	2	3	3	3	3	3	4	2	5	2	3	3	16	5	2
ROPN1L	2	NA	NA	1	3	3	4	4	4	3	5	1	3	NA	1	1	13	5	1
ROR1	5	4	3	3	4	4	4	7	4	3	3	5	0	3	4	1	15	7	0
ROR2	10	6	16	10	13	15	11	13	13	14	11	12	11	13	9	10	16	16	6
RORA	1	2	1	1	1	2	1	2	1	1	2	2	1	2	NA	1	15	2	1
RORB	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1
RORC	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	3	1	1
ROS1	1	9	1	4	2	3	4	3	3	1	3	5	1	1	NA	4	15	9	1
RP1	2	NA	NA	NA	4	NA	3	2	3	4	8	NA	NA	1	1	1	10	8	1
RP2	13	11	11	11	8	14	11	11	12	15	12	10	11	11	12	14	16	15	8
RP9	10	5	7	7	5	6	5	5	7	9	7	7	8	6	8	8	16	10	5
RPA1	39	41	44	44	42	43	38	37	38	46	38	41	39	42	44	44	16	46	37
RPA2	12	15	16	16	11	15	16	15	13	13	15	14	15	14	13	15	16	16	11
RPA3	9	9	9	10	9	9	8	9	9	9	9	9	9	9	9	8	16	10	8
RPAIN	4	2	2	4	2	2	4	2	2	3	1	2	2	2	3	3	16	4	1
RPAP1	32	36	35	32	31	35	37	36	33	37	34	33	38	34	33	33	16	38	31
RPAP2	17	16	13	18	15	13	15	15	17	17	14	16	17	22	19	15	16	22	13
RPAP3	37	33	41	41	34	32	38	35	38	36	36	37	36	36	36	37	16	41	32
RPE	11	14	13	13	13	11	13	12	15	13	13	14	13	15	14	12	16	15	11
RPE65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
RPF1	8	6	8	7	7	9	7	8	6	9	7	8	9	8	7	10	16	10	6
RPF2	16	14	18	19	18	14	16	17	17	18	18	15	15	16	16	19	16	19	14
RPGR	7	9	9	8	7	11	9	8	9	8	7	8	9	6	10	6	16	11	6
RPGRIP1	1	1	1	1	1	2	3	1	1	1	1	1	2	1	1	NA	15	3	1
RPGRIP1L	2	3	6	6	2	9	6	4	4	6	14	5	4	5	5	3	16	14	2
RPH3AL	5	4	3	1	5	1	1	3	5	1	4	3	3	NA	3	2	15	5	1
RPIA	12	16	18	20	15	21	17	18	16	16	16	13	15	17	13	19	16	21	12
RPL10	13	12	13	13	11	12	13	12	12	12	13	12	12	12	13	11	16	13	11
RPL10A	11	12	17	17	13	13	12	13	13	13	16	13	13	15	16	15	16	17	11
RPL10L	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0
RPL11	12	12	14	15	13	12	11	15	12	11	12	12	12	11	12	12	16	15	11
RPL12	11	11	14	14	10	11	10	11	11	11	13	12	11	11	11	11	16	14	10
RPL13	9	9	16	16	9	10	8	10	9	10	11	10	11	10	11	11	16	16	8
RPL13A	8	9	12	15	9	9	9	9	9	8	9	9	8	8	9	9	16	15	8
RPL14	9	8	10	11	9	10	9	10	8	9	9	8	7	8	8	9	16	11	7
RPL15	11	10	13	11	12	11	9	12	10	11	12	12	11	11	11	11	16	13	9
RPL18	6	7	5	10	6	7	6	8	6	7	6	7	8	6	6	6	16	10	5
RPL18A	9	9	14	13	11	10	8	10	11	11	10	11	9	9	10	14	16	14	8
RPL19	7	7	10	12	8	7	7	9	8	9	9	9	7	8	10	7	16	12	7
RPL21	13	12	11	12	10	11	7	12	10	11	12	12	12	11	8	8	16	13	7
RPL22	6	6	9	9	6	4	5	5	5	5	7	5	4	6	6	5	16	9	4
RPL22L1	2	3	5	4	3	3	3	3	3	1	4	2	3	1	1	2	16	5	1
RPL23	11	12	14	14	13	12	10	12	11	11	15	13	11	12	11	14	16	15	10
RPL23A	10	10	14	17	9	9	10	10	9	10	15	9	9	8	9	10	16	17	8
RPL24	12	9	15	13	11	10	10	10	11	13	10	13	10	12	13	12	16	15	9
RPL26	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	16	2	1
RPL26L1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	14	1	0
RPL27	9	10	16	17	10	10	10	12	10	10	11	11	12	12	10	12	16	17	9
RPL27A	5	5	7	8	5	4	3	5	5	6	5	4	4	6	4	7	16	8	3
RPL28	8	8	12	12	8	8	7	8	8	9	10	9	8	8	7	7	16	12	7
RPL29	3	4	4	5	3	3	3	3	3	2	2	4	4	4	3	3	16	5	2
RPL3	26	27	37	40	29	29	28	29	26	33	28	28	33	32	28	30	16	40	26
RPL30	10	11	10	11	9	8	9	9	10	9	11	9	9	11	9	9	16	11	8
RPL31	11	11	18	16	10	13	12	11	12	12	13	12	11	11	11	12	16	18	10
RPL32	7	6	6	6	6	6	6	6	6	6	7	6	6	7	7	7	16	7	6
RPL34	7	6	7	8	7	7	6	7	7	7	7	8	7	7	8	8	16	8	6
RPL35	7	7	11	11	7	7	7	7	7	7	9	7	7	7	7	7	16	11	7
RPL35A	12	12	13	14	12	12	12	12	12	13	13	13	12	13	14	14	16	14	12
RPL36	6	7	9	9	7	8	8	8	7	8	9	9	9	9	8	11	16	11	6
RPL36AL	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	16	2	1
RPL37	1	1	3	4	1	1	1	1	1	1	3	1	1	1	1	1	16	4	1
RPL37A	7	6	8	7	6	7	5	5	6	6	6	7	6	7	7	7	16	8	5
RPL38	3	3	7	7	3	4	5	3	3	3	4	3	3	3	3	4	16	7	3
RPL3L	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	2	8	2	0
RPL4	21	22	33	30	23	21	23	22	24	22	24	23	24	24	22	23	16	33	21
RPL5	31	30	34	35	28	28	30	29	27	29	32	29	32	28	31	31	16	35	27
RPL6	17	16	22	24	15	18	15	16	16	17	17	19	17	16	14	18	16	24	14
RPL7	16	14	20	20	16	14	15	16	15	16	18	18	16	17	20	14	16	20	14
RPL7A	16	15	21	23	16	15	15	15	15	14	20	15	15	15	15	17	16	23	14
RPL7L1	9	9	11	10	8	6	8	8	9	11	11	8	9	7	8	9	16	11	6
RPL8	15	17	21	23	18	18	14	17	16	19	18	20	20	18	16	19	16	23	14
RPL9	10	10	16	17	10	10	11	10	11	12	11	10	11	12	11	11	16	17	10
RPLP0	17	20	23	26	18	20	20	20	18	20	21	18	19	20	20	19	16	26	17
RPLP1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16	2	2
RPLP2	6	6	12	11	6	5	6	6	6	6	9	6	5	6	5	6	16	12	5
RPN1	48	47	54	55	48	50	44	48	46	49	48	49	49	49	46	49	16	55	44
RPN2	32	34	40	44	31	35	33	33	36	41	38	33	34	37	36	34	16	44	31
RPP14	5	4	5	3	4	5	5	4	4	4	5	4	5	5	4	4	16	5	3
RPP21	0	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	9	1	0
RPP25	6	6	7	6	8	6	4	8	6	6	6	4	8	7	8	8	16	8	4
RPP25L	2	2	NA	1	2	3	3	NA	2	2	1	2	1	2	2	2	14	3	1
RPP30	12	11	14	14	11	15	13	13	14	16	13	12	11	12	11	11	16	16	11
RPP38	11	7	9	9	8	9	9	8	8	9	7	8	9	9	9	12	16	12	7
RPP40	13	13	14	12	12	14	16	13	15	15	15	12	8	11	14	13	16	16	8
RPRD1A	14	15	16	14	12	12	14	14	13	14	15	12	12	13	16	15	16	16	12
RPRD1B	15	13	18	17	13	16	14	14	15	15	13	14	14	15	14	15	16	18	13
RPRD2	48	44	46	47	40	47	42	37	46	46	49	38	46	43	45	46	16	49	37
RPS10	2	2	3	3	2	2	2	1	2	2	2	2	2	2	2	2	16	3	1
RPS11	14	12	14	14	11	12	12	12	11	12	13	14	12	13	14	14	16	14	11
RPS12	9	7	13	11	10	9	9	8	9	8	8	8	9	7	8	10	16	13	7
RPS13	8	7	11	12	8	9	9	9	8	9	9	9	9	9	8	9	16	12	7
RPS14	10	12	13	14	12	12	11	12	12	12	12	12	13	15	13	11	16	15	10
RPS15	21	22	22	25	20	20	23	21	24	24	21	21	22	22	17	22	16	25	17
RPS15A	2	2	3	3	2	2	2	2	2	2	2	2	2	2	2	2	16	3	2
RPS16	15	15	16	18	14	14	14	15	16	14	16	14	14	15	15	16	16	18	14
RPS18	14	13	19	20	15	17	15	13	12	15	17	15	12	16	15	14	16	20	12
RPS19	10	10	12	11	10	10	11	9	11	10	9	10	11	11	10	10	16	12	9
RPS19BP1	6	6	5	5	4	5	4	5	4	4	5	6	5	5	4	5	16	6	4
RPS2	22	20	20	23	19	19	19	20	19	20	21	21	22	21	20	21	16	23	19
RPS20	6	7	9	9	6	5	6	7	6	6	8	6	5	6	6	6	16	9	5
RPS21	9	7	9	9	8	8	7	8	8	8	8	8	8	8	9	9	16	9	7
RPS23	11	10	11	11	10	8	8	8	10	9	11	10	10	10	10	10	16	11	8
RPS24	7	7	10	10	7	7	7	5	7	7	8	8	7	7	7	7	16	10	5
RPS25	5	4	9	11	5	5	5	5	5	5	6	5	5	6	5	5	16	11	4
RPS26	4	4	4	4	3	4	3	3	5	4	4	4	4	5	4	4	16	5	3
RPS27	1	1	3	3	1	1	1	1	1	1	2	2	1	1	1	1	16	3	1
RPS27A	2	2	3	3	2	2	2	3	2	2	3	2	2	3	3	3	16	3	2
RPS27L	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	16	2	1
RPS28	8	8	10	10	8	8	8	8	8	8	8	9	9	10	8	10	16	10	8
RPS29	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	16	4	3
RPS3	28	28	36	34	28	28	27	29	31	28	30	28	27	28	29	32	16	36	27
RPS3A	26	30	40	34	24	25	28	30	26	28	31	25	31	30	26	31	16	40	24
RPS4X	11	11	16	17	11	11	11	11	12	10	13	11	11	11	11	12	16	17	10
RPS4Y1	8	10	8	8	7	8	9	8	8	8	8	6	6	8	9	8	16	10	6
RPS4Y2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0
RPS5	6	6	8	8	6	6	6	7	6	6	8	7	7	9	7	6	16	9	6
RPS6	18	15	20	21	15	14	17	15	15	15	16	16	15	15	17	16	16	21	14
RPS6KA1	28	30	34	35	32	34	34	33	32	30	31	30	33	31	33	30	16	35	28
RPS6KA2	3	7	4	5	4	4	3	2	3	1	2	6	5	4	2	1	16	7	1
RPS6KA3	28	28	30	28	23	25	24	30	28	30	29	27	28	30	29	31	16	31	23
RPS6KA4	16	13	18	15	15	15	14	19	17	16	17	18	17	14	17	19	16	19	13
RPS6KA5	18	19	18	18	20	20	18	15	16	20	20	17	16	19	17	24	16	24	15
RPS6KA6	3	1	1	2	2	2	4	2	3	3	2	1	3	2	2	2	16	4	1
RPS6KB1	9	12	15	16	10	10	16	10	13	13	8	12	13	11	13	12	16	16	8
RPS6KB2	6	12	11	9	7	8	7	9	10	10	6	8	9	10	9	9	16	12	6
RPS6KC1	18	19	16	15	18	20	19	20	16	19	20	22	19	19	18	19	16	22	15
RPS6KL1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1
RPS7	19	20	20	24	19	17	15	20	15	18	23	17	16	19	16	16	16	24	15
RPS8	12	16	17	19	13	13	12	13	11	15	14	14	14	16	13	14	16	19	11
RPSA	17	16	18	16	18	17	16	17	15	17	18	15	17	17	16	17	16	18	15
RPTN	NA	NA	NA	1	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	2	5	1
RPTOR	37	35	28	36	33	29	38	32	36	38	35	33	37	36	34	35	16	38	28
RPUSD1	NA	NA	1	1	NA	2	1	2	NA	NA	NA	NA	NA	1	NA	NA	6	2	1
RPUSD2	18	12	14	15	13	17	15	14	16	13	14	15	11	13	12	14	16	18	11
RPUSD3	10	9	7	8	9	7	8	7	10	7	9	8	8	10	7	10	16	10	7
RPUSD4	8	5	7	6	3	4	3	7	3	4	5	6	3	5	5	6	16	8	3
RRAD	4	4	3	6	7	6	6	5	4	5	4	4	4	5	5	6	16	7	3
RRAGA	2	2	2	2	1	2	2	2	2	2	2	2	3	3	2	3	16	3	1
RRAGB	2	3	0	1	2	2	2	2	3	3	3	1	3	2	2	2	15	3	0
RRAGC	7	8	9	9	7	8	7	8	8	5	7	7	7	7	8	8	16	9	5
RRAGD	2	4	3	2	2	4	3	3	3	5	4	2	2	2	2	2	16	5	2
RRAS	13	11	12	12	14	13	14	12	12	12	12	12	12	12	11	14	16	14	11
RRAS2	12	14	12	13	13	14	14	13	12	14	14	16	14	11	13	13	16	16	11
RRBP1	102	104	126	121	105	105	99	103	104	102	95	113	112	111	104	101	16	126	95
RREB1	31	36	33	33	22	28	27	28	25	32	29	28	26	35	30	25	16	36	22
RRM1	40	37	47	47	39	43	39	47	35	42	35	36	37	44	46	41	16	47	35
RRM2	5	2	4	4	2	2	4	3	2	5	5	3	4	4	4	2	16	5	2
RRM2B	19	19	22	22	20	20	21	17	18	21	19	17	21	20	21	21	16	22	17
RRN3	11	9	15	12	12	12	11	13	11	15	13	16	12	13	13	18	16	18	9
RRNAD1	3	1	1	2	1	2	1	NA	1	1	2	3	NA	3	3	NA	13	3	1
RRP1	22	20	21	23	19	20	20	18	19	20	18	18	20	20	18	24	16	24	18
RRP12	48	46	47	45	43	42	43	43	42	40	42	42	42	41	40	48	16	48	40
RRP15	10	9	13	14	13	11	9	11	12	11	12	9	10	7	9	7	16	14	7
RRP1B	30	29	34	33	33	29	33	33	36	32	32	34	34	33	34	35	16	36	29
RRP36	6	6	8	5	6	6	5	5	5	4	6	5	4	6	5	7	16	8	4
RRP7A	17	13	12	14	13	15	15	14	14	15	15	16	14	14	14	16	16	17	12
RRP8	14	14	17	11	10	12	14	10	12	14	11	12	12	13	15	11	16	17	10
RRP9	17	13	17	20	17	14	14	15	13	14	20	16	18	16	17	15	16	20	13
RRS1	17	14	17	18	15	15	14	17	16	15	16	17	16	15	16	18	16	18	14
RSAD1	3	4	5	4	4	5	4	8	4	6	3	4	6	5	4	3	16	8	3
RSAD2	9	3	5	5	3	6	8	2	3	6	9	10	5	7	4	6	16	10	2
RSBN1	14	18	18	18	14	17	16	19	14	16	17	16	14	18	18	15	16	19	14
RSBN1L	25	23	23	22	20	26	19	22	23	25	22	26	23	23	27	25	16	27	19
RSF1	50	50	44	50	42	46	46	47	40	49	48	36	47	44	50	38	16	50	36
RSG1	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	3	1	1
RSL1D1	18	19	35	34	17	16	17	18	18	19	20	21	21	18	18	20	16	35	16
RSL24D1	2	2	3	2	2	1	1	2	1	1	1	1	1	1	1	1	16	3	1
RSPH1	1	NA	2	NA	5	3	9	3	3	5	6	2	2	2	1	3	14	9	1
RSPH14	NA	NA	NA	NA	NA	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	3	1	1
RSPH3	NA	NA	NA	NA	1	1	3	1	3	3	7	NA	1	NA	NA	1	9	7	1
RSPH4A	4	2	4	5	9	7	7	7	10	11	11	3	5	3	5	3	16	11	2
RSPH9	4	1	NA	NA	5	4	5	2	5	3	5	2	3	1	1	2	14	5	1
RSPO3	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	3	1	1
RSPO4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1
RSPRY1	12	12	14	14	11	11	12	13	12	10	12	9	10	13	11	9	16	14	9
RSRC1	5	3	4	6	3	4	5	4	4	5	6	4	4	4	3	4	16	6	3
RSRC2	8	7	3	6	6	5	8	8	3	7	7	4	4	6	6	3	16	8	3
RSU1	16	17	17	17	17	14	17	16	17	16	18	18	18	17	16	19	16	19	14
RTCA	24	26	26	23	22	22	22	23	23	27	24	22	25	25	23	24	16	27	22
RTCB	34	30	35	40	33	32	34	34	32	34	33	34	35	34	33	32	16	40	30
RTEL1	5	4	2	6	4	3	6	3	4	5	5	5	4	9	5	5	16	9	2
RTF1	18	16	13	17	12	13	15	14	14	15	18	11	11	16	13	14	16	18	11
RTF2	14	14	16	15	11	13	13	12	12	14	14	12	10	13	10	12	16	16	10
RTKN	16	17	18	24	20	17	16	20	19	20	21	18	20	20	20	20	16	24	16
RTKN2	6	5	1	4	5	5	6	9	5	5	1	NA	NA	2	4	5	14	9	1
RTL1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	1	1
RTL10	NA	NA	NA	1	NA	1	1	1	NA	1	1	NA	1	2	NA	NA	8	2	1
RTL5	1	NA	2	1	1	3	1	1	NA	1	1	NA	1	NA	2	1	12	3	1
RTL6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
RTL8B	0	0	0	0	1	0	0	0	0	0	0	NA	0	0	0	1	2	1	0
RTL8C	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0
RTN1	24	20	20	27	23	24	29	23	25	22	20	23	25	29	26	29	16	29	20
RTN2	3	4	3	4	3	3	2	3	2	3	4	2	4	4	5	5	16	5	2
RTN3	7	19	14	11	14	17	14	14	13	13	12	10	12	11	16	11	16	19	7
RTN4	22	24	26	37	24	33	23	24	22	29	29	26	21	31	28	24	16	37	21
RTN4IP1	15	18	17	21	16	16	14	15	14	15	15	13	14	15	15	14	16	21	13
RTN4R	NA	NA	1	NA	NA	NA	NA	NA	NA	2	NA	NA	2	NA	3	NA	4	3	1
RTN4RL2	2	3	2	5	2	2	4	2	5	3	1	2	3	NA	4	3	15	5	1
RTP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	2	2
RTP4	2	2	NA	2	2	1	2	2	NA	2	2	2	1	1	1	2	14	2	1
RTRAF	18	17	19	24	16	17	16	17	19	16	16	16	16	17	18	18	16	24	16
RTTN	16	10	7	7	6	9	9	8	5	7	5	3	9	9	12	8	16	16	3
RUBCN	10	8	6	7	7	9	10	8	9	4	9	9	4	6	6	11	16	11	4
RUBCNL	NA	0	NA	NA	NA	NA	NA	NA	1	NA	1	1	0	NA	NA	0	3	1	0
RUFY1	39	41	42	44	37	38	36	40	41	42	39	45	43	42	41	39	16	45	36
RUFY2	21	21	20	20	20	19	19	19	24	19	20	23	20	22	20	20	16	24	19
RUFY3	23	21	19	22	19	23	28	16	24	19	19	19	22	19	24	21	16	28	16
RUNDC1	6	10	11	8	7	12	7	7	13	11	12	10	8	6	9	8	16	13	6
RUNDC3A	NA	NA	NA	NA	NA	NA	3	2	1	3	NA	NA	NA	3	8	NA	6	8	1
RUNX1	12	15	12	15	11	18	16	15	14	8	14	15	11	14	12	13	16	18	8
RUNX1T1	NA	1	0	NA	1	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	2	1	0
RUNX2	3	4	5	4	4	6	3	5	3	6	4	3	5	5	5	6	16	6	3
RUNX3	4	4	4	4	6	5	4	2	4	3	5	3	3	4	5	4	16	6	2
RUSC1	6	4	7	3	5	4	5	5	5	7	6	3	7	6	7	6	16	7	3
RUSC2	NA	NA	NA	NA	2	2	2	NA	2	NA	NA	NA	2	1	2	1	8	2	1
RUVBL1	39	39	46	47	38	41	38	42	39	41	42	36	39	41	44	42	16	47	36
RUVBL2	44	40	49	48	44	44	44	45	46	45	47	41	44	47	44	43	16	49	40
RWDD1	7	6	8	7	7	7	5	6	6	7	6	7	7	7	7	7	16	8	5
RWDD2A	3	2	4	3	3	2	3	3	3	4	3	2	2	2	3	1	16	4	1
RWDD2B	2	4	4	5	3	3	4	4	4	2	6	5	3	6	4	8	16	8	2
RWDD3	3	0	1	1	1	0	1	2	3	2	3	4	2	3	2	2	14	4	0
RWDD4	7	7	6	7	6	9	6	6	6	6	6	7	7	6	7	8	16	9	6
RXRA	8	8	9	8	9	9	7	6	10	8	8	8	7	5	6	6	16	10	5
RXRB	11	10	9	11	10	8	8	8	11	12	9	7	7	8	8	8	16	12	7
RXYLT1	1	4	3	3	2	3	3	2	2	2	2	2	2	1	3	4	16	4	1
RYK	2	1	NA	1	2	3	3	3	NA	4	1	3	2	1	1	3	14	4	1
RYR1	2	2	NA	1	NA	NA	0	2	NA	1	1	1	NA	1	1	1	10	2	0
RYR2	28	3	1	1	0	4	1	1	NA	0	2	0	0	3	1	1	11	28	0
RYR3	0	NA	1	2	0	1	0	1	NA	2	0	0	1	1	5	0	8	5	0
S100A1	2	NA	2	2	2	2	1	2	2	1	2	1	1	2	1	1	15	2	1
S100A10	5	5	10	9	5	5	6	6	5	5	6	5	6	5	5	5	16	10	5
