set01	set02	set03	set04	set05	set06	set07	set08	set09	set10	set11	set12	set13	set14	set15	set16	SetsWithPeps	MaxPeps	MinPeps
ADAM17	33	30	30	30	31	32	29	32	34	32	30	35	36	35	29	31	16	36	29
ADAM18	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	2	1	1
ADAM19	1	2	2	1	1	NA	NA	2	4	2	2	2	NA	5	1	2	13	5	1
ADAM2	1	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	1	1
ADAM21	1	NA	NA	NA	1	1	NA	NA	1	NA	NA	1	NA	NA	NA	1	6	1	1
ADAM22	1	NA	4	2	2	3	1	4	3	4	2	4	NA	2	6	1	14	6	1
ADAM23	2	NA	NA	1	NA	1	1	3	NA	NA	1	NA	2	NA	NA	NA	7	3	1
ADAM28	6	12	14	9	10	9	8	8	13	14	19	12	9	11	17	13	16	19	6
ADAM29	1	NA	NA	1	NA	1	1	1	NA	1	1	NA	NA	1	NA	1	9	1	1
ADAM30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	1
ADAM8	7	7	13	10	8	12	7	9	9	11	9	11	11	4	9	11	16	13	4
ADAM9	19	21	19	22	20	16	17	16	22	18	17	20	19	22	17	18	16	22	16
ADAMDEC1	1	3	2	3	1	3	3	1	2	2	3	4	3	4	2	4	16	4	1
ADAMTS1	3	2	NA	3	3	NA	9	8	1	1	4	1	1	NA	2	3	13	9	1
ADAMTS12	12	11	15	7	13	13	9	11	9	12	8	10	9	11	14	9	16	15	7
ADAMTS13	NA	2	NA	1	NA	NA	NA	2	2	NA	2	1	NA	1	NA	NA	7	2	1
ADAMTS14	NA	1	NA	NA	NA	1	NA	1	1	2	NA	NA	NA	NA	NA	NA	5	2	1
ADAMTS15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	1	1
ADAMTS16	4	3	9	6	5	5	11	13	8	7	8	11	3	7	5	6	16	13	3
ADAMTS19	NA	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	3	2	1
